palabra,valencia,polaridad,frecuencia
asset,1.5,positiva,1
ready,1.5,positiva,18
comedy,1.5,positiva,3
survivor,1.5,positiva,42
natural,1.5,positiva,45
jewel,1.5,positiva,1
keen,1.5,positiva,1
like,1.5,positiva,345
importance,1.5,positiva,1
brightly,1.5,positiva,1
grant,1.5,positiva,3
fit,1.5,positiva,7
mercy,1.5,positiva,4
privilege,1.5,positiva,1
smile,1.5,positiva,6
wealthy,1.5,positiva,2
apologise,1.6,positiva,1
optimization,1.6,positiva,1
integrity,1.6,positiva,4
protect,1.6,positiva,7
xp,1.6,positiva,4
forgiven,1.6,positiva,3
promote,1.6,positiva,2
capable,1.6,positiva,1
kissed,1.6,positiva,2
ensure,1.6,positiva,1
commitment,1.6,positiva,1
innovation,1.6,positiva,2
gained,1.6,positiva,6
alive,1.6,positiva,11
accept,1.6,positiva,2
clear,1.6,positiva,6
greeting,1.6,positiva,2
growth,1.6,positiva,3
credit,1.6,positiva,4
dear,1.6,positiva,6
ty,1.6,positiva,4
creativity,1.6,positiva,3
stronger,1.6,positiva,2
hoped,1.6,positiva,2
entertainer,1.6,positiva,1
dignity,1.7,positiva,2
hardy,1.7,positiva,3
appreciate,1.7,positiva,4
convincing,1.7,positiva,1
convinced,1.7,positiva,1
smart,1.7,positiva,2
harmony,1.7,positiva,1
holiday,1.7,positiva,6
hilarious,1.7,positiva,8
help,1.7,positiva,77
treat,1.7,positiva,5
romantic,1.7,positiva,1
interesting,1.7,positiva,14
favor,1.7,positiva,3
definitely,1.7,positiva,5
clean,1.7,positiva,5
interested,1.7,positiva,4
favorited,1.7,positiva,1
healthy,1.7,positiva,2
freed,1.7,positiva,1
sincere,1.7,positiva,1
desire,1.7,positiva,8
justified,1.7,positiva,2
yes,1.7,positiva,27
secured,1.7,positiva,2
boost,1.7,positiva,1
party,1.7,positiva,19
active,1.7,positiva,5
clearly,1.7,positiva,5
liking,1.7,positiva,1
special,1.7,positiva,12
wish,1.7,positiva,12
hugged,1.7,positiva,1
freeman,1.7,positiva,1
trusting,1.7,positiva,2
engaged,1.7,positiva,1
support,1.7,positiva,30
hopefully,1.7,positiva,5
approves,1.7,positiva,2
liked,1.8,positiva,44
true,1.8,positiva,17
hoping,1.8,positiva,3
grace,1.8,positiva,5
marvel,1.8,positiva,3
easier,1.8,positiva,1
talent,1.8,positiva,3
cared,1.8,positiva,2
promoted,1.8,positiva,1
lucky,1.8,positiva,11
saved,1.8,positiva,15
safety,1.8,positiva,15
entertainment,1.8,positiva,6
lol,1.8,positiva,71
encouragement,1.8,positiva,3
improves,1.8,positiva,1
sunny,1.8,positiva,2
astounding,1.8,positiva,1
rescued,1.8,positiva,40
bless,1.8,positiva,4
progress,1.8,positiva,6
united,1.8,positiva,20
safer,1.8,positiva,5
inspiring,1.8,positiva,2
thankfully,1.8,positiva,2
popular,1.8,positiva,3
faith,1.8,positiva,4
kiss,1.8,positiva,4
powerful,1.8,positiva,7
sharing,1.8,positiva,2
nice,1.8,positiva,13
opportunity,1.8,positiva,1
gaining,1.8,positiva,2
charity,1.8,positiva,2
wisely,1.8,positiva,1
forgiving,1.9,positiva,1
easy,1.9,positiva,8
supporting,1.9,positiva,1
hope,1.9,positiva,55
safe,1.9,positiva,8
gift,1.9,positiva,5
profit,1.9,positiva,5
friendship,1.9,positiva,4
thanks,1.9,positiva,30
truly,1.9,positiva,5
innovative,1.9,positiva,1
strongest,1.9,positiva,1
funny,1.9,positiva,13
fond,1.9,positiva,1
lively,1.9,positiva,1
creative,1.9,positiva,1
rejoice,1.9,positiva,1
protected,1.9,positiva,1
better,1.9,positiva,36
attractive,1.9,positiva,2
relax,1.9,positiva,4
surely,1.9,positiva,3
improve,1.9,positiva,2
good,1.9,positiva,89
influential,1.9,positiva,1
supremo,1.9,positiva,1
gentle,1.9,positiva,1
esteemed,1.9,positiva,2
championship,1.9,positiva,3
fame,1.9,positiva,1
bright,1.9,positiva,2
cute,2.0,positiva,6
kindness,2.0,positiva,2
benefit,2.0,positiva,4
glad,2.0,positiva,14
gently,2.0,positiva,1
neat,2.0,positiva,1
compassion,2.0,positiva,1
honestly,2.0,positiva,9
passion,2.0,positiva,1
grand,2.0,positiva,3
motivated,2.0,positiva,1
engagement,2.0,positiva,1
l,2.0,positiva,14
goodness,2.0,positiva,1
serene,2.0,positiva,1
haha,2.0,positiva,20
fav,2.0,positiva,5
warmth,2.0,positiva,1
clever,2.0,positiva,2
dedicated,2.0,positiva,2
improvement,2.0,positiva,2
charmed,2.0,positiva,1
smiling,2.0,positiva,2
fab,2.0,positiva,1
welcome,2.0,positiva,11
satisfying,2.0,positiva,1
attraction,2.0,positiva,2
ftw,2.0,positiva,1
grateful,2.0,positiva,5
sweet,2.0,positiva,7
applaud,2.0,positiva,2
favorite,2.0,positiva,20
interest,2.0,positiva,4
luck,2.0,positiva,6
pleasantly,2.1,positiva,1
excite,2.1,positiva,1
hug,2.1,positiva,3
approval,2.1,positiva,2
respect,2.1,positiva,7
woo,2.1,positiva,1
champ,2.1,positiva,1
freeing,2.1,positiva,1
wise,2.1,positiva,1
respected,2.1,positiva,2
intelligence,2.1,positiva,2
terrific,2.1,positiva,1
triumph,2.1,positiva,2
proud,2.1,positiva,2
relief,2.1,positiva,9
sincerely,2.1,positiva,1
trusted,2.1,positiva,1
effective,2.1,positiva,1
impressed,2.1,positiva,4
favorable,2.1,positiva,1
medal,2.1,positiva,2
heartwarming,2.1,positiva,1
improved,2.1,positiva,1
friend,2.2,positiva,38
adorable,2.2,positiva,1
kinder,2.2,positiva,1
safely,2.2,positiva,3
cuties,2.2,positiva,1
invincible,2.2,positiva,1
agreement,2.2,positiva,1
kindly,2.2,positiva,2
friendly,2.2,positiva,2
respecting,2.2,positiva,1
festival,2.2,positiva,7
sunshine,2.2,positiva,2
trusty,2.2,positiva,2
laughing,2.2,positiva,5
exciting,2.2,positiva,2
honor,2.2,positiva,6
inspired,2.2,positiva,2
wealth,2.2,positiva,3
pretty,2.2,positiva,23
peacetime,2.2,positiva,1
hand,2.2,positiva,24
amazed,2.2,positiva,1
courage,2.2,positiva,1
excitement,2.2,positiva,2
save,2.2,positiva,36
blessing,2.2,positiva,7
relaxing,2.2,positiva,1
succeed,2.2,positiva,1
care,2.2,positiva,31
peaceful,2.2,positiva,4
nh,2.2,positiva,5
strengthening,2.2,positiva,2
strength,2.2,positiva,1
handsome,2.2,positiva,1
bravery,2.2,positiva,1
caring,2.2,positiva,1
enjoy,2.2,positiva,9
flawless,2.3,positiva,2
earnest,2.3,positiva,1
survived,2.3,positiva,39
positivity,2.3,positiva,1
ecstatic,2.3,positiva,1
strong,2.3,positiva,14
generous,2.3,positiva,1
appreciated,2.3,positiva,2
fun,2.3,positiva,28
trust,2.3,positiva,18
rescue,2.3,positiva,41
enjoyed,2.3,positiva,3
vip,2.3,positiva,3
pleasant,2.3,positiva,1
comfortable,2.3,positiva,1
impressive,2.3,positiva,2
heaven,2.3,positiva,4
ethical,2.3,positiva,1
free,2.3,positiva,44
honest,2.3,positiva,2
cheer,2.3,positiva,1
congrats,2.4,positiva,1
peacefully,2.4,positiva,2
gain,2.4,positiva,4
sexy,2.4,positiva,3
brave,2.4,positiva,3
ideal,2.4,positiva,1
liberty,2.4,positiva,2
wisdom,2.4,positiva,1
courageous,2.4,positiva,1
kind,2.4,positiva,4
enjoying,2.4,positiva,4
yay,2.4,positiva,5
encouraging,2.4,positiva,1
inspiration,2.4,positiva,1
justice,2.4,positiva,8
grandeur,2.4,positiva,2
winning,2.4,positiva,2
positively,2.4,positiva,1
triumphant,2.4,positiva,1
lmfao,2.5,positiva,5
glory,2.5,positiva,1
fascinating,2.5,positiva,1
peace,2.5,positiva,16
loyalty,2.5,positiva,1
brightening,2.5,positiva,1
fondness,2.5,positiva,1
award,2.5,positiva,1
bonus,2.5,positiva,1
hahaha,2.6,positiva,3
funniest,2.6,positiva,1
positive,2.6,positiva,4
happily,2.6,positiva,2
divine,2.6,positiva,1
happiness,2.6,positiva,3
fantastic,2.6,positiva,5
supreme,2.6,positiva,4
laugh,2.6,positiva,5
rich,2.6,positiva,3
romance,2.6,positiva,5
praise,2.6,positiva,1
hero,2.6,positiva,19
thankful,2.7,positiva,2
bliss,2.7,positiva,1
happy,2.7,positiva,24
excellent,2.7,positiva,4
kissing,2.7,positiva,1
delicious,2.7,positiva,1
precious,2.7,positiva,2
success,2.7,positiva,4
reward,2.7,positiva,3
perfect,2.7,positiva,10
beautifully,2.7,positiva,1
heroine,2.7,positiva,2
honour,2.7,positiva,1
wonderful,2.7,positiva,5
pleasure,2.7,positiva,2
wd,2.7,positiva,2
charming,2.8,positiva,1
lover,2.8,positiva,3
winner,2.8,positiva,2
miracle,2.8,positiva,1
win,2.8,positiva,26
lovely,2.8,positiva,8
xd,2.8,positiva,6
cutest,2.8,positiva,1
wow,2.8,positiva,21
joy,2.8,positiva,7
beauty,2.8,positiva,2
honored,2.8,positiva,1
amazing,2.8,positiva,8
brilliant,2.8,positiva,1
loving,2.9,positiva,15
super,2.9,positiva,15
blessed,2.9,positiva,6
champion,2.9,positiva,1
congratulation,2.9,positiva,1
beautiful,2.9,positiva,30
lmao,2.9,positiva,16
magnificent,2.9,positiva,1
wonderfully,2.9,positiva,1
bff,2.9,positiva,4
loved,2.9,positiva,13
gorgeous,3.0,positiva,2
xoxo,3.0,positiva,2
heavenly,3.0,positiva,8
masterpiece,3.1,positiva,1
superb,3.1,positiva,1
awesome,3.1,positiva,16
excellence,3.1,positiva,1
great,3.1,positiva,60
best,3.2,positiva,75
perfectly,3.2,positiva,2
glorious,3.2,positiva,3
freedom,3.2,positiva,5
paradise,3.2,positiva,1
love,3.2,positiva,107
greatest,3.2,positiva,8
143,3.2,positiva,1
